C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET22:41:16

Vmag < 6
--------

Number of objects : 5599

 #  	  coord1 (ICRS,J2000/2000)   	Mag B 	Mag V 
----	-----------------------------	------	------
83  	00 14 27.62909 -07 46 49.8985	 6.74 	 5.12 
84  	10 31 56.64025 -45 04 10.7984	 5.87 	 5.99 
85  	18 21 01.02008 +28 52 11.8293	 5.323	 5.129
86  	08 52 38.60525 -48 21 32.7675	 5.753	 5.889
87  	02 31 49.09456 +89 15 50.7923	 2.62 	 2.02 
88  	20 32 23.69559 -09 51 12.1731	 6.34 	 5.65 
89  	10 53 29.65524 -58 51 11.4163	 4.74 	 3.79 
90  	09 08 00.04963 +29 39 15.2428	 6.309	 5.427
91  	07 17 08.55678 -37 05 50.8962	 4.32 	 2.70 
92  	17 19 03.83574 -46 38 10.4467	 6.28 	 5.48 
93  	21 47 02.44424 -16 07 38.2335	 3.12 	 2.83 
94  	20 33 12.77192 +11 18 11.7412	 3.90 	 4.03 
95  	05 01 25.58052 -20 03 06.9147	 4.852	 4.894
96  	05 29 43.98212 -01 05 32.0590	 6.28 	 4.71 
97  	10 09 30.17029 -68 40 58.0205	 5.830	 5.821
98  	16 54 35.00435 -42 21 40.7407	 4.99 	 3.62 
99  	06 04 07.22 +23 15 49.1      	 5.0  	 4.2  
100 	15 55 29.59831 -68 36 10.8101	 6.214	 5.106
101 	22 43 35.23307 -18 49 49.3557	 6.06 	 4.69 
102 	07 33 09.77553 -24 42 38.6379	 5.98 	 5.83 
103 	10 28 52.57446 -64 10 20.2066	 7.11 	 5.27 
104 	20 39 24.89096 +00 29 11.1909	 6.211	 5.154
105 	19 54 44.79761 +00 16 25.0606	 5.704	 5.628
106 	22 18 12.64831 +62 48 15.7965	 7.035	 5.752
107 	04 38 10.825 -14 18 14.34    	 5.03 	 3.89 
108 	18 35 12.60300 +18 12 12.2800	 5.780	 5.790
109 	17 45 43.98605 -64 43 25.9394	 4.790	 3.597
110 	04 26 36.37093 +14 42 49.6126	 5.67 	 4.69 
